e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15
-1.7580692,2.6012144,7.6452546,0.94668394,6.4225087,1.3846645,-1.7580993,15.066336,0.9605616,11.0158615,6.2419577,5.46116,5.143638,-1.7578955,6.693195
-1.7580993,4.524551,6.9704537,0.46478257,16.833855,5.8804045,-1.7580993,1.8420503,1.0223482,3.5991848,7.438946,4.9966035,8.842279,-1.7580836,6.3077526
-1.7580713,3.2146204,6.7798586,2.914612,13.944898,4.4838347,-1.7580993,2.91632,5.6961703,5.3921986,8.068282,9.338288,9.293034,-1.7580082,4.6070137
-1.7580723,5.2334747,11.416427,0.97331065,12.731266,5.3990226,-1.7580993,5.6825047,-0.32611302,6.15289,4.5889153,6.1448474,8.914988,-1.7580988,5.1251397
-1.7580993,4.885126,5.0970473,1.3176056,16.214153,6.7972527,-1.7580993,0.9908387,0.0008036253,5.5618525,6.4920382,2.0507505,8.367,-1.7580953,6.820529
-1.7580993,2.1049497,7.0814757,1.867127,15.813974,5.269477,-1.7580993,10.995839,-0.41452235,4.9522724,10.472965,4.520805,13.972079,-1.7580972,9.814861
-1.7580991,3.322985,4.6115394,3.253587,8.377285,3.232372,-1.7580993,0.9477866,7.3673954,1.9784759,1.5718147,4.506261,3.4302285,-1.7579135,5.4820676
-1.7580993,-0.36851266,4.0180955,-0.11688281,7.2576747,1.1146683,-1.7580954,0.61358404,1.2152374,10.929752,5.144327,1.2575947,4.566866,-1.7476596,1.8515775
-1.7580988,0.9700375,8.393563,1.5511727,13.861024,5.41928,-1.7580993,6.3143263,0.61113137,11.320563,10.049637,7.000779,8.693574,-1.7580991,8.159559
-1.7580886,4.583398,4.9886484,8.0906315,0.5041535,-0.17827791,-1.7579,1.1423892,5.5852804,4.347446,3.7890735,-0.74860567,2.3074458,-1.7532765,3.8542066
-1.7580993,3.114191,6.999656,1.7369452,17.860554,4.927072,-1.7580993,0.93905157,1.1991974,5.2385697,7.982793,6.6246104,8.828997,-1.7580966,6.5388203
-1.748758,2.9554398,5.6756473,3.2770498,6.3211565,4.188483,-1.7580993,4.1387925,8.1699705,7.050886,8.211509,3.5729585,7.7209716,-1.758059,6.5702443
-1.7580993,3.3812668,7.035314,1.5302049,18.031487,4.9824295,-1.7580993,1.1189181,0.9492755,4.9640055,8.1723175,6.85377,8.628416,-1.7580962,6.8459916
