,cas_number,vapor pressure,temperature,substantivity,percentage
34,84029-93-6,0.0747,25.0,24.0,100.0
39,68039-24-7,0.02,25.0,192.0,100.0
44,5405-58-3,0.023,25.0,12.0,100.0
53,2556-10-7,0.056,25.0,12.0,100.0
61,579-74-8,0.029,25.0,6.0,100.0
71,98-86-2,0.397,25.0,7.0,100.0
77,59056-62-1,0.001,25.0,280.0,100.0
84,10599-70-9,0.014,25.0,356.0,100.0
91,1192-62-7,0.772,25.0,0.5,100.0
94,1193-79-9,0.301,25.0,12.0,100.0
96,23787-80-6,0.105,25.0,25.0,100.0
100,1122-62-9,0.481,25.0,9.0,100.0
101,350-03-8,0.111,25.0,45.0,100.0
104,24295-03-2,0.173,25.0,16.0,100.0
114,5240-32-4,0.303,25.0,72.0,100.0
126,141-13-9,0.003,25.0,168.0,100.0
147,97384-48-0,0.003,25.0,376.0,100.0
156,40188-41-8,0.098,25.0,24.0,100.0
178,67634-00-8,0.04,25.0,84.0,100.0
189,2705-87-5,0.009,25.0,251.0,100.0
193,7493-69-8,0.641,25.0,4.0,100.0
194,142-19-8,0.16,25.0,4.0,100.0
195,123-68-2,0.678,25.0,0.5,100.0
199,4230-97-1,0.054,25.0,8.0,100.0
202,7493-74-5,0.005,25.0,304.0,100.0
208,105463-44-3,0.002,25.0,64.0,100.0
232,87118-95-4,0.044,25.0,44.0,100.0
233,37172-05-7,0.008,25.0,64.0,100.0
234,58567-11-6,0.004,25.0,168.0,100.0
236,117933-89-8,0.00033,25.0,400.0,100.0
237,53338-05-9,0.099,25.0,20.0,100.0
240,65405-72-3,0.002,25.0,360.0,100.0
241,68611-23-4,0.005,25.0,400.0,100.0
246,42824-62-4,0.012,25.0,160.0,100.0
251,41199-19-3,0.00046,25.0,344.0,100.0
260,42604-12-6,0.007,25.0,124.0,100.0
273,71832-76-3,0.0005,25.0,68.0,100.0
274,41199-19-3,0.0005,25.0,72.0,100.0
285,2308-18-1,0.167,25.0,0.5,100.0
293,540-18-1,0.569,25.0,4.0,100.0
297,122-40-7,0.002,25.0,256.0,100.0
304,91-87-2,0.00016,25.0,16.0,100.0
306,3487-99-8,0.00087,25.0,344.0,100.0
308,7493-78-9,0.00064,25.0,400.0,100.0
309,101-85-9,0.00064,25.0,320.0,100.0
320,2306-91-4,0.004,25.0,172.0,100.0
329,109-25-1,0.061,25.0,16.0,100.0
331,2198-61-0,0.086,25.0,64.0,100.0
345,2035-99-6,0.024,25.0,64.0,100.0
348,102-19-2,0.005,25.0,172.0,100.0
353,2050-08-0,0.001,25.0,124.0,100.0
354,87-20-7,0.003,25.0,124.0,100.0
359,2173-56-0,0.233,25.0,4.0,100.0
360,25415-62-7,0.413,25.0,4.0,100.0
362,659-70-1,0.886,25.0,0.5,100.0
377,4180-23-8,0.069,25.0,20.0,100.0
391,591-12-8,0.023,25.0,0.5,100.0
413,2186-92-7,0.133,25.0,112.0,100.0
416,26912-64-1,0.016,25.0,0.5,100.0
430,104-21-2,0.021,25.0,100.0,100.0
434,105-13-5,0.0038,25.0,82.0,100.0
435,6963-56-0,0.003,25.0,0.5,100.0
438,122-91-8,0.017,25.0,104.0,100.0
442,874-90-8,0.014999,25.0,400.0,100.0
445,5462-06-6,0.01,25.0,48.0,100.0
454,8015-92-7,0.53,25.0,112.0,100.0
457,8015-92-7,0.53,25.0,112.0,100.0
476,6413-10-1,0.219,25.0,12.0,100.0
555,3240-29-7,0.023,25.0,24.0,100.0
557,67845-30-1,0.011,25.0,400.0,100.0
581,97358-54-8,0.53,25.0,2.0,100.0
599,2568-25-4,0.053,25.0,48.0,100.0
623,119-61-9,0.001,25.0,394.0,100.0
625,93-91-4,0.011,25.0,44.0,100.0
626,140-11-4,0.177,25.0,4.0,100.0
627,5396-89-4,0.001,25.0,24.0,100.0
628,2550-26-7,0.056,25.0,172.0,100.0
629,100-51-6,0.094,25.0,35.0,100.0
631,120-51-4,0.00025,25.0,322.0,100.0
633,103-37-7,0.037,25.0,64.0,100.0
634,103-28-6,0.051,25.0,12.0,100.0
642,104-57-4,0.273,25.0,8.0,100.0
645,7492-37-7,0.002,25.0,133.0,100.0
657,102-16-9,0.00012,25.0,400.0,100.0
659,122-63-4,0.065,25.0,8.0,100.0
660,118-58-1,0.00017,25.0,384.0,100.0
664,103-38-8,0.017,25.0,148.0,100.0
666,69103-01-1,0.015,25.0,12.0,100.0
687,104986-28-9,0.02,25.0,24.0,100.0
741,107715-18-4,0.012,25.0,88.0,100.0
746,464-45-9,0.04,25.0,16.0,100.0
753,85586-67-0,0.031,25.0,19.0,100.0
755,1200-67-5,0.163,25.0,12.0,100.0
762,2756-56-1,0.045,25.0,20.0,100.0
768,7779-73-9,0.12,25.0,0.5,100.0
772,3155-71-3,0.001,25.0,236.0,100.0
810,38462-22-5,0.006,25.0,0.5,100.0
854,120-50-3,0.037,25.0,16.0,100.0
865,7492-70-8,0.006,25.0,0.5,100.0
866,7492-44-6,0.001,25.0,168.0,100.0
885,7492-45-7,0.002,25.0,2.0,100.0
896,626-82-4,0.233,25.0,0.5,100.0
897,105-79-3,0.413,25.0,6.0,100.0
928,122-43-0,0.011,25.0,348.0,100.0
943,68198-80-1,0.003,25.0,0.5,100.0
946,1333-58-0,0.002,25.0,168.0,100.0
949,87-19-4,0.006,25.0,48.0,100.0
955,7785-66-2,0.459,25.0,0.5,100.0
958,109-42-2,0.001,25.0,344.0,100.0
964,551-08-6,0.001,25.0,376.0,100.0
1042,4501-58-0,0.415,25.0,8.0,100.0
1127,499-75-2,0.03,25.0,272.0,100.0
1133,99-48-9,0.0117,25.0,51.0,100.0
1135,562-74-3,0.048,25.0,20.0,100.0
1138,2244-16-8,0.066,25.0,8.0,100.0
1141,18383-49-8,0.016,25.0,20.0,100.0
1142,97-42-7,0.001,25.0,163.0,100.0
1149,97-45-0,0.002,25.0,39.0,100.0
1152,13877-93-5,0.013,25.0,44.0,100.0
1154,87-44-5,0.013,25.0,44.0,100.0
1159,32214-91-8,0.00024,25.0,196.0,100.0
1161,57082-24-3,0.001,25.0,12.0,100.0
1164,1139-30-6,0.007,25.0,116.0,100.0
1184,71048-82-3,0.01,25.0,220.0,100.0
1238,469-61-4,0.018,25.0,112.0,100.0
1240,13567-39-0,0.016,25.0,96.0,100.0
1241,28231-03-0,0.00024,25.0,400.0,100.0
1243,1405-92-1,0.00013,25.0,400.0,100.0
1245,19870-74-7,0.013,25.0,124.0,100.0
1254,77-54-3,0.002,25.0,400.0,100.0
1256,39900-38-4,0.001,25.0,156.0,100.0
1257,67874-81-1,0.013,25.0,124.0,100.0
1260,3720-16-9,0.063,25.0,48.0,100.0
1271,71566-53-5,0.005,25.0,44.0,100.0
1288,68419-46-5,0.19,25.0,16.0,100.0
1292,6297-41-2,0.413,25.0,4.0,100.0
1316,39067-39-5,0.057,25.0,124.0,100.0
1319,69929-17-5,0.014,25.0,56.0,100.0
1333,104-55-2,0.0265,25.0,212.0,100.0
1338,4364-06-1,0.017,25.0,96.0,100.0
1393,21040-45-9,0.009,25.0,124.0,100.0
1396,104-54-1,0.012,25.0,371.0,100.0
1397,4407-36-7,0.012,25.0,400.0,100.0
